
Program Started
AES		 , nan		 ,  0		 , 1FFT		 , nan		 ,  0		 , 1SHA		 , nan		 ,  0		 , 1BFS		 , nan		 ,  0		 , 1KMP		 , nan		 ,  0		 , 1GEMM		 , nan		 ,  0		 , 1SORT		 , nan		 ,  0		 , 1SPMV		 , nan		 ,  0		 , 1
AES		 , 2.500		 ,  5		 , 2FFT		 , 15.179		 ,  5		 , 2SHA		 , 5.143		 ,  3		 , 2BFS		 , 0.000		 ,  0		 , 2KMP		 , 0.000		 ,  0		 , 2GEMM		 , 0.000		 ,  0		 , 2SORT		 , 0.000		 ,  0		 , 2SPMV		 , 0.000		 ,  0		 , 2
AES		 , 1.250		 ,  5		 , 3FFT		 , 7.589		 ,  5		 , 3SHA		 , 2.571		 ,  3		 , 3BFS		 , 3.214		 ,  1		 , 3KMP		 , 2.893		 ,  6		 , 3GEMM		 , 0.000		 ,  0		 , 3SORT		 , 0.000		 ,  0		 , 3SPMV		 , 0.000		 ,  0		 , 3
AES		 , 0.833		 ,  5		 , 4FFT		 , 5.060		 ,  5		 , 4SHA		 , 1.714		 ,  3		 , 4BFS		 , 6.429		 ,  3		 , 4KMP		 , 1.929		 ,  6		 , 4GEMM		 , 0.000		 ,  0		 , 4SORT		 , 1.000		 ,  6		 , 4SPMV		 , 0.000		 ,  0		 , 4
AES		 , 1.250		 , 10		 , 5FFT		 , 3.795		 ,  5		 , 5SHA		 , 1.286		 ,  3		 , 5BFS		 , 4.821		 ,  3		 , 5KMP		 , 1.446		 ,  6		 , 5GEMM		 , 7.000		 ,  2		 , 5SORT		 , 0.750		 ,  6		 , 5SPMV		 , 1.875		 ,  3		 , 5
AES		 , 1.000		 , 10		 , 6FFT		 , 3.036		 ,  5		 , 6SHA		 , 1.029		 ,  3		 , 6BFS		 , 3.857		 ,  3		 , 6KMP		 , 1.157		 ,  6		 , 6GEMM		 , 5.600		 ,  2		 , 6SORT		 , 1.500		 , 15		 , 6SPMV		 , 1.500		 ,  3		 , 6
AES		 , 1.250		 , 15		 , 7FFT		 , 2.530		 ,  5		 , 7SHA		 , 1.714		 ,  6		 , 7BFS		 , 3.214		 ,  3		 , 7KMP		 , 1.446		 ,  9		 , 7GEMM		 , 4.667		 ,  2		 , 7SORT		 , 1.250		 , 15		 , 7SPMV		 , 1.250		 ,  3		 , 7
AES		 , 1.429		 , 20		 , 8FFT		 , 2.168		 ,  5		 , 8SHA		 , 1.469		 ,  6		 , 8BFS		 , 2.755		 ,  3		 , 8KMP		 , 1.240		 ,  9		 , 8GEMM		 , 4.000		 ,  2		 , 8SORT		 , 1.286		 , 18		 , 8SPMV		 , 2.143		 ,  6		 , 8
AES		 , 1.250		 , 20		 , 9FFT		 , 1.897		 ,  5		 , 9SHA		 , 1.286		 ,  6		 , 9BFS		 , 2.411		 ,  3		 , 9KMP		 , 1.808		 , 15		 , 9GEMM		 , 3.500		 ,  2		 , 9SORT		 , 1.312		 , 21		 , 9SPMV		 , 1.875		 ,  6		 , 9
AES		 , 1.389		 , 25		 , 10FFT		 , 1.687		 ,  5		 , 10SHA		 , 1.714		 ,  9		 , 10BFS		 , 2.143		 ,  3		 , 10KMP		 , 1.607		 , 15		 , 10GEMM		 , 3.111		 ,  2		 , 10SORT		 , 1.333		 , 24		 , 10SPMV		 , 1.667		 ,  6		 , 10
AES		 , 1.250		 , 25		 , 11FFT		 , 1.518		 ,  5		 , 11SHA		 , 1.543		 ,  9		 , 11BFS		 , 1.929		 ,  3		 , 11KMP		 , 1.446		 , 15		 , 11GEMM		 , 2.800		 ,  2		 , 11SORT		 , 1.650		 , 33		 , 11SPMV		 , 1.500		 ,  6		 , 11
AES		 , 1.364		 , 30		 , 12FFT		 , 1.380		 ,  5		 , 12SHA		 , 1.403		 ,  9		 , 12BFS		 , 1.753		 ,  3		 , 12KMP		 , 1.578		 , 18		 , 12GEMM		 , 2.545		 ,  2		 , 12SORT		 , 1.500		 , 33		 , 12SPMV		 , 2.045		 ,  9		 , 12
AES		 , 1.458		 , 35		 , 13FFT		 , 2.530		 , 10		 , 13SHA		 , 1.714		 , 12		 , 13BFS		 , 1.607		 ,  3		 , 13KMP		 , 1.446		 , 18		 , 13GEMM		 , 2.333		 ,  2		 , 13SORT		 , 1.375		 , 33		 , 13SPMV		 , 1.875		 ,  9		 , 13
AES		 , 1.346		 , 35		 , 14FFT		 , 2.335		 , 10		 , 14SHA		 , 1.582		 , 12		 , 14BFS		 , 1.978		 ,  4		 , 14KMP		 , 1.558		 , 21		 , 14GEMM		 , 2.154		 ,  2		 , 14SORT		 , 1.385		 , 36		 , 14SPMV		 , 1.731		 ,  9		 , 14
AES		 , 1.429		 , 40		 , 15FFT		 , 2.168		 , 10		 , 15SHA		 , 1.469		 , 12		 , 15BFS		 , 1.837		 ,  4		 , 15KMP		 , 1.446		 , 21		 , 15GEMM		 , 2.000		 ,  2		 , 15SORT		 , 1.500		 , 42		 , 15SPMV		 , 1.607		 ,  9		 , 15
AES		 , 1.500		 , 45		 , 16FFT		 , 2.024		 , 10		 , 16SHA		 , 1.371		 , 12		 , 16BFS		 , 2.143		 ,  5		 , 16KMP		 , 1.543		 , 24		 , 16GEMM		 , 1.867		 ,  2		 , 16SORT		 , 1.400		 , 42		 , 16SPMV		 , 1.500		 ,  9		 , 16
AES		 , 1.406		 , 45		 , 17FFT		 , 1.897		 , 10		 , 17SHA		 , 1.929		 , 18		 , 17BFS		 , 2.009		 ,  5		 , 17KMP		 , 1.446		 , 24		 , 17GEMM		 , 1.750		 ,  2		 , 17SORT		 , 1.406		 , 45		 , 17SPMV		 , 1.406		 ,  9		 , 17
AES		 , 1.471		 , 50		 , 18FFT		 , 1.786		 , 10		 , 18SHA		 , 1.815		 , 18		 , 18BFS		 , 1.891		 ,  5		 , 18KMP		 , 1.532		 , 27		 , 18GEMM		 , 1.647		 ,  2		 , 18SORT		 , 1.412		 , 48		 , 18SPMV		 , 1.324		 ,  9		 , 18
AES		 , 1.389		 , 50		 , 19FFT		 , 1.687		 , 10		 , 19SHA		 , 1.714		 , 18		 , 19BFS		 , 1.786		 ,  5		 , 19KMP		 , 1.446		 , 27		 , 19GEMM		 , 1.556		 ,  2		 , 19SORT		 , 1.500		 , 54		 , 19SPMV		 , 1.667		 , 12		 , 19
AES		 , 1.447		 , 55		 , 20FFT		 , 1.598		 , 10		 , 20SHA		 , 1.624		 , 18		 , 20BFS		 , 1.692		 ,  5		 , 20KMP		 , 1.675		 , 33		 , 20GEMM		 , 1.474		 ,  2		 , 20SORT		 , 1.421		 , 54		 , 20SPMV		 , 1.579		 , 12		 , 20
AES		 , 1.375		 , 55		 , 21FFT		 , 1.518		 , 10		 , 21SHA		 , 1.543		 , 18		 , 21BFS		 , 1.607		 ,  5		 , 21KMP		 , 1.591		 , 33		 , 21GEMM		 , 2.800		 ,  4		 , 21SORT		 , 1.500		 , 60		 , 21SPMV		 , 1.500		 , 12		 , 21
AES		 , 1.429		 , 60		 , 22FFT		 , 1.446		 , 10		 , 22SHA		 , 1.469		 , 18		 , 22BFS		 , 1.531		 ,  5		 , 22KMP		 , 1.515		 , 33		 , 22GEMM		 , 2.667		 ,  4		 , 22SORT		 , 1.500		 , 63		 , 22SPMV		 , 1.786		 , 15		 , 22
AES		 , 1.477		 , 65		 , 23FFT		 , 2.070		 , 15		 , 23SHA		 , 1.636		 , 21		 , 23BFS		 , 1.461		 ,  5		 , 23KMP		 , 1.446		 , 33		 , 23GEMM		 , 2.545		 ,  4		 , 23SORT		 , 1.432		 , 63		 , 23SPMV		 , 1.705		 , 15		 , 23
AES		 , 1.413		 , 65		 , 24FFT		 , 1.980		 , 15		 , 24SHA		 , 1.565		 , 21		 , 24BFS		 , 1.677		 ,  6		 , 24KMP		 , 1.509		 , 36		 , 24GEMM		 , 2.435		 ,  4		 , 24SORT		 , 1.435		 , 66		 , 24SPMV		 , 1.630		 , 15		 , 24
AES		 , 1.458		 , 70		 , 25FFT		 , 1.897		 , 15		 , 25SHA		 , 1.500		 , 21		 , 25BFS		 , 2.143		 ,  8		 , 25KMP		 , 1.446		 , 36		 , 25GEMM		 , 2.333		 ,  4		 , 25SORT		 , 1.438		 , 69		 , 25SPMV		 , 1.562		 , 15		 , 25
