
Program Started
AES		 , nan		 ,  0		 , 0FFT		 , nan		 ,  0		 , 2SHA		 , nan		 ,  0		 , 0BFS		 , nan		 ,  0		 , 2KMP		 , nan		 ,  0		 , 0GEMM		 , nan		 ,  0		 , 3SORT		 , nan		 ,  0		 , 0SPMV		 , nan		 ,  0		 , 1
AES		 , 0.000		 ,  0		 , 1FFT		 , 0.000		 ,  0		 , 2SHA		 , 0.000		 ,  0		 , 2BFS		 , 0.000		 ,  0		 , 2KMP		 , 0.000		 ,  0		 , 0GEMM		 , 28.000		 ,  2		 , 5SORT		 , 0.000		 ,  0		 , 2SPMV		 , 7.500		 ,  3		 , 2
AES		 , 1.250		 ,  5		 , 2FFT		 , 0.000		 ,  0		 , 2SHA		 , 5.143		 ,  6		 , 3BFS		 , 0.000		 ,  0		 , 4KMP		 , 0.000		 ,  0		 , 2GEMM		 , 14.000		 ,  2		 , 5SORT		 , 0.000		 ,  0		 , 2SPMV		 , 3.750		 ,  3		 , 4
AES		 , 0.833		 ,  5		 , 2FFT		 , 0.000		 ,  0		 , 6SHA		 , 3.429		 ,  6		 , 3BFS		 , 2.143		 ,  1		 , 5KMP		 , 1.929		 ,  6		 , 2GEMM		 , 9.333		 ,  2		 , 6SORT		 , 0.000		 ,  0		 , 3SPMV		 , 2.500		 ,  3		 , 5
AES		 , 0.625		 ,  5		 , 2FFT		 , 0.000		 ,  0		 , 8SHA		 , 2.571		 ,  6		 , 4BFS		 , 4.821		 ,  3		 , 5KMP		 , 1.446		 ,  6		 , 2GEMM		 , 7.000		 ,  2		 , 7SORT		 , 0.750		 ,  6		 , 6SPMV		 , 1.875		 ,  3		 , 6
AES		 , 0.500		 ,  5		 , 2FFT		 , 3.036		 ,  5		 , 9SHA		 , 2.057		 ,  6		 , 4BFS		 , 3.857		 ,  3		 , 7KMP		 , 1.157		 ,  6		 , 5GEMM		 , 5.600		 ,  2		 , 8SORT		 , 1.200		 , 12		 , 6SPMV		 , 1.500		 ,  3		 , 7
AES		 , 0.417		 ,  5		 , 6FFT		 , 2.530		 ,  5		 , 10SHA		 , 1.714		 ,  6		 , 5BFS		 , 3.214		 ,  3		 , 7KMP		 , 1.929		 , 12		 , 5GEMM		 , 4.667		 ,  2		 , 9SORT		 , 1.000		 , 12		 , 6SPMV		 , 2.500		 ,  6		 , 8
AES		 , 1.429		 , 20		 , 7FFT		 , 2.168		 ,  5		 , 10SHA		 , 1.469		 ,  6		 , 6BFS		 , 2.755		 ,  3		 , 8KMP		 , 1.653		 , 12		 , 5GEMM		 , 4.000		 ,  2		 , 10SORT		 , 0.857		 , 12		 , 8SPMV		 , 2.143		 ,  6		 , 10
AES		 , 1.250		 , 20		 , 7FFT		 , 1.897		 ,  5		 , 12SHA		 , 1.286		 ,  6		 , 6BFS		 , 2.411		 ,  3		 , 9KMP		 , 1.446		 , 12		 , 6GEMM		 , 3.500		 ,  2		 , 11SORT		 , 1.312		 , 21		 , 9SPMV		 , 1.875		 ,  6		 , 12
AES		 , 1.111		 , 20		 , 9FFT		 , 1.687		 ,  5		 , 12SHA		 , 1.143		 ,  6		 , 7BFS		 , 2.143		 ,  3		 , 10KMP		 , 1.929		 , 18		 , 7GEMM		 , 3.111		 ,  2		 , 11SORT		 , 1.333		 , 24		 , 12SPMV		 , 1.667		 ,  6		 , 12
AES		 , 1.500		 , 30		 , 10FFT		 , 1.518		 ,  5		 , 15SHA		 , 1.543		 ,  9		 , 7BFS		 , 1.929		 ,  3		 , 10KMP		 , 1.736		 , 18		 , 7GEMM		 , 2.800		 ,  2		 , 12SORT		 , 1.200		 , 24		 , 13SPMV		 , 1.500		 ,  6		 , 14
AES		 , 1.364		 , 30		 , 10FFT		 , 1.380		 ,  5		 , 16SHA		 , 2.182		 , 14		 , 8BFS		 , 1.753		 ,  3		 , 12KMP		 , 1.578		 , 18		 , 7GEMM		 , 2.545		 ,  2		 , 12SORT		 , 1.227		 , 27		 , 15SPMV		 , 2.045		 ,  9		 , 16
