
Program Started
AES		 , nan		 ,  0		 , 0FFT		 , nan		 ,  0		 , 2SHA		 , nan		 ,  0		 , 0BFS		 , nan		 ,  0		 , 2KMP		 , nan		 ,  0		 , 0GEMM		 , nan		 ,  0		 , 3SORT		 , nan		 ,  0		 , 0SPMV		 , nan		 ,  0		 , 1
AES		 , 0.000		 ,  0		 , 0FFT		 , 0.000		 ,  0		 , 5SHA		 , 0.000		 ,  0		 , 1BFS		 , 0.000		 ,  0		 , 4KMP		 , 0.000		 ,  0		 , 0GEMM		 , 0.000		 ,  0		 , 4SORT		 , 0.000		 ,  0		 , 0SPMV		 , 0.000		 ,  0		 , 2
AES		 , 0.000		 ,  0		 , 3FFT		 , 0.000		 ,  0		 , 8SHA		 , 0.000		 ,  0		 , 2BFS		 , 0.000		 ,  0		 , 4KMP		 , 0.000		 ,  0		 , 0GEMM		 , 0.000		 ,  0		 , 5SORT		 , 0.000		 ,  0		 , 0SPMV		 , 0.000		 ,  0		 , 2
AES		 , 0.000		 ,  0		 , 6FFT		 , 0.000		 ,  0		 , 9SHA		 , 0.000		 ,  0		 , 4BFS		 , 0.000		 ,  0		 , 5KMP		 , 0.000		 ,  0		 , 0GEMM		 , 0.000		 ,  0		 , 5SORT		 , 0.000		 ,  0		 , 1SPMV		 , 0.000		 ,  0		 , 2
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 9SHA		 , 0.000		 ,  0		 , 7BFS		 , 0.000		 ,  0		 , 7KMP		 , 0.000		 ,  0		 , 1GEMM		 , 0.000		 ,  0		 , 5SORT		 , 0.000		 ,  0		 , 1SPMV		 , 0.000		 ,  0		 , 3
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 10BFS		 , 0.000		 ,  0		 , 7KMP		 , 0.000		 ,  0		 , 1GEMM		 , 0.000		 ,  0		 , 6SORT		 , 0.000		 ,  0		 , 2SPMV		 , 0.000		 ,  0		 , 5
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 10BFS		 , 0.000		 ,  0		 , 9KMP		 , 0.000		 ,  0		 , 2GEMM		 , 0.000		 ,  0		 , 8SORT		 , 0.000		 ,  0		 , 4SPMV		 , 0.000		 ,  0		 , 6
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 11BFS		 , 0.000		 ,  0		 , 10KMP		 , 0.000		 ,  0		 , 4GEMM		 , 0.000		 ,  0		 , 8SORT		 , 0.000		 ,  0		 , 6SPMV		 , 0.000		 ,  0		 , 8
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 12BFS		 , 0.000		 ,  0		 , 12KMP		 , 0.000		 ,  0		 , 5GEMM		 , 0.000		 ,  0		 , 9SORT		 , 0.000		 ,  0		 , 8SPMV		 , 0.000		 ,  0		 , 9
AES		 , 1.556		 ,  1		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 16BFS		 , 0.000		 ,  0		 , 12KMP		 , 0.000		 ,  0		 , 6GEMM		 , 0.000		 ,  0		 , 11SORT		 , 0.000		 ,  0		 , 9SPMV		 , 0.000		 ,  0		 , 9
AES		 , 1.400		 ,  1		 , 8FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 18BFS		 , 0.000		 ,  0		 , 13KMP		 , 0.000		 ,  0		 , 8GEMM		 , 0.000		 ,  0		 , 11SORT		 , 0.000		 ,  0		 , 11SPMV		 , 0.000		 ,  0		 , 9
AES		 , 1.273		 ,  1		 , 9FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 19BFS		 , 0.000		 ,  0		 , 14KMP		 , 0.000		 ,  0		 , 9GEMM		 , 0.000		 ,  0		 , 11SORT		 , 0.000		 ,  0		 , 14SPMV		 , 0.000		 ,  0		 , 10
AES		 , 1.167		 ,  1		 , 9FFT		 , 0.000		 ,  0		 , 12SHA		 , 0.000		 ,  0		 , 20BFS		 , 0.000		 ,  0		 , 14KMP		 , 0.000		 ,  0		 , 9GEMM		 , 0.000		 ,  0		 , 12SORT		 , 0.000		 ,  0		 , 16SPMV		 , 0.000		 ,  0		 , 12
AES		 , 1.077		 ,  1		 , 12FFT		 , 0.000		 ,  0		 , 14SHA		 , 0.000		 ,  0		 , 21BFS		 , 0.000		 ,  0		 , 15KMP		 , 0.000		 ,  0		 , 9GEMM		 , 0.000		 ,  0		 , 13SORT		 , 0.000		 ,  0		 , 16SPMV		 , 0.000		 ,  0		 , 12
AES		 , 1.000		 ,  1		 , 12FFT		 , 0.000		 ,  0		 , 15SHA		 , 0.000		 ,  0		 , 23BFS		 , 0.000		 ,  0		 , 16KMP		 , 0.000		 ,  0		 , 11GEMM		 , 0.000		 ,  0		 , 14SORT		 , 0.000		 ,  0		 , 17SPMV		 , 5.000		 ,  1		 , 12
AES		 , 0.933		 ,  1		 , 12FFT		 , 0.000		 ,  0		 , 15SHA		 , 0.000		 ,  0		 , 25BFS		 , 0.000		 ,  0		 , 16KMP		 , 0.000		 ,  0		 , 14GEMM		 , 0.000		 ,  0		 , 16SORT		 , 0.000		 ,  0		 , 17SPMV		 , 4.667		 ,  1		 , 13
AES		 , 0.875		 ,  1		 , 12FFT		 , 0.000		 ,  0		 , 15SHA		 , 0.000		 ,  0		 , 27BFS		 , 0.000		 ,  0		 , 17KMP		 , 0.000		 ,  0		 , 16GEMM		 , 0.000		 ,  0		 , 17SORT		 , 0.000		 ,  0		 , 18SPMV		 , 4.375		 ,  1		 , 14
AES		 , 0.824		 ,  1		 , 14FFT		 , 0.000		 ,  0		 , 16SHA		 , 0.000		 ,  0		 , 28BFS		 , 0.000		 ,  0		 , 17KMP		 , 0.000		 ,  0		 , 18GEMM		 , 0.000		 ,  0		 , 17SORT		 , 0.000		 ,  0		 , 19SPMV		 , 4.118		 ,  1		 , 15
AES		 , 0.778		 ,  1		 , 15FFT		 , 0.000		 ,  0		 , 18SHA		 , 0.000		 ,  0		 , 29BFS		 , 0.000		 ,  0		 , 20KMP		 , 0.000		 ,  0		 , 19GEMM		 , 0.000		 ,  0		 , 17SORT		 , 0.000		 ,  0		 , 19SPMV		 , 3.889		 ,  1		 , 15
AES		 , 0.737		 ,  1		 , 16FFT		 , 0.000		 ,  0		 , 18SHA		 , 0.000		 ,  0		 , 30BFS		 , 0.000		 ,  0		 , 21KMP		 , 0.000		 ,  0		 , 19GEMM		 , 0.000		 ,  0		 , 18SORT		 , 0.000		 ,  0		 , 23SPMV		 , 3.684		 ,  1		 , 15
AES		 , 0.700		 ,  1		 , 20FFT		 , 0.000		 ,  0		 , 18SHA		 , 0.000		 ,  0		 , 32BFS		 , 0.000		 ,  0		 , 21KMP		 , 0.000		 ,  0		 , 20GEMM		 , 0.000		 ,  0		 , 18SORT		 , 0.000		 ,  0		 , 23SPMV		 , 3.500		 ,  1		 , 16
AES		 , 0.667		 ,  1		 , 21FFT		 , 0.000		 ,  0		 , 19SHA		 , 0.000		 ,  0		 , 34BFS		 , 0.000		 ,  0		 , 22KMP		 , 0.000		 ,  0		 , 20GEMM		 , 0.000		 ,  0		 , 19SORT		 , 0.000		 ,  0		 , 24SPMV		 , 3.333		 ,  1		 , 17
AES		 , 0.636		 ,  1		 , 21FFT		 , 0.000		 ,  0		 , 19SHA		 , 2.182		 ,  1		 , 36BFS		 , 0.000		 ,  0		 , 23KMP		 , 0.000		 ,  0		 , 22GEMM		 , 0.000		 ,  0		 , 20SORT		 , 0.000		 ,  0		 , 26SPMV		 , 3.182		 ,  1		 , 17
AES		 , 0.609		 ,  1		 , 22FFT		 , 0.000		 ,  0		 , 19SHA		 , 2.087		 ,  1		 , 36BFS		 , 0.000		 ,  0		 , 24KMP		 , 0.000		 ,  0		 , 24GEMM		 , 0.000		 ,  0		 , 21SORT		 , 0.609		 ,  1		 , 26SPMV		 , 3.043		 ,  1		 , 20
AES		 , 0.583		 ,  1		 , 22FFT		 , 0.000		 ,  0		 , 20SHA		 , 2.000		 ,  1		 , 37BFS		 , 0.000		 ,  0		 , 25KMP		 , 0.000		 ,  0		 , 25GEMM		 , 0.000		 ,  0		 , 23SORT		 , 0.583		 ,  1		 , 27SPMV		 , 2.917		 ,  1		 , 21
AES		 , 0.560		 ,  1		 , 22FFT		 , 0.000		 ,  0		 , 22SHA		 , 1.920		 ,  1		 , 38BFS		 , 0.000		 ,  0		 , 25KMP		 , 0.000		 ,  0		 , 26GEMM		 , 0.000		 ,  0		 , 26SORT		 , 0.560		 ,  1		 , 28SPMV		 , 2.800		 ,  1		 , 21
AES		 , 0.538		 ,  1		 , 23FFT		 , 0.000		 ,  0		 , 24SHA		 , 1.846		 ,  1		 , 39BFS		 , 0.000		 ,  0		 , 26KMP		 , 0.000		 ,  0		 , 27GEMM		 , 0.000		 ,  0		 , 26SORT		 , 0.538		 ,  1		 , 29SPMV		 , 2.692		 ,  1		 , 22
AES		 , 0.519		 ,  1		 , 24FFT		 , 0.000		 ,  0		 , 25SHA		 , 1.778		 ,  1		 , 42BFS		 , 0.000		 ,  0		 , 27KMP		 , 0.000		 ,  0		 , 27GEMM		 , 0.000		 ,  0		 , 28SORT		 , 0.519		 ,  1		 , 29SPMV		 , 2.593		 ,  1		 , 22
AES		 , 0.500		 ,  1		 , 25FFT		 , 0.000		 ,  0		 , 25SHA		 , 1.714		 ,  1		 , 44BFS		 , 0.000		 ,  0		 , 27KMP		 , 0.000		 ,  0		 , 27GEMM		 , 14.000		 ,  1		 , 30SORT		 , 0.500		 ,  1		 , 31SPMV		 , 2.500		 ,  1		 , 23
AES		 , 0.483		 ,  1		 , 25FFT		 , 0.000		 ,  0		 , 27SHA		 , 1.655		 ,  1		 , 45BFS		 , 0.000		 ,  0		 , 29KMP		 , 0.000		 ,  0		 , 28GEMM		 , 13.517		 ,  1		 , 31SORT		 , 0.483		 ,  1		 , 31SPMV		 , 2.414		 ,  1		 , 24
AES		 , 0.933		 ,  2		 , 27FFT		 , 0.000		 ,  0		 , 29SHA		 , 1.600		 ,  1		 , 46BFS		 , 0.000		 ,  0		 , 30KMP		 , 0.000		 ,  0		 , 28GEMM		 , 13.067		 ,  1		 , 32SORT		 , 0.467		 ,  1		 , 32SPMV		 , 2.333		 ,  1		 , 24
AES		 , 0.903		 ,  2		 , 28FFT		 , 0.000		 ,  0		 , 29SHA		 , 1.548		 ,  1		 , 47BFS		 , 0.000		 ,  0		 , 30KMP		 , 0.871		 ,  1		 , 28GEMM		 , 12.645		 ,  1		 , 33SORT		 , 0.452		 ,  1		 , 34SPMV		 , 2.258		 ,  1		 , 27
AES		 , 0.875		 ,  2		 , 29FFT		 , 0.000		 ,  0		 , 29SHA		 , 1.500		 ,  1		 , 49BFS		 , 0.000		 ,  0		 , 32KMP		 , 0.844		 ,  1		 , 28GEMM		 , 12.250		 ,  1		 , 33SORT		 , 0.438		 ,  1		 , 36SPMV		 , 2.188		 ,  1		 , 28
AES		 , 0.848		 ,  2		 , 31FFT		 , 0.000		 ,  0		 , 29SHA		 , 1.455		 ,  1		 , 50BFS		 , 0.000		 ,  0		 , 32KMP		 , 0.818		 ,  1		 , 29GEMM		 , 11.879		 ,  1		 , 34SORT		 , 0.424		 ,  1		 , 37SPMV		 , 2.121		 ,  1		 , 30
AES		 , 0.824		 ,  2		 , 31FFT		 , 0.000		 ,  0		 , 31SHA		 , 1.412		 ,  1		 , 51BFS		 , 0.000		 ,  0		 , 32KMP		 , 0.794		 ,  1		 , 31GEMM		 , 11.529		 ,  1		 , 36SORT		 , 0.412		 ,  1		 , 37SPMV		 , 2.059		 ,  1		 , 31
AES		 , 0.800		 ,  2		 , 33FFT		 , 0.000		 ,  0		 , 31SHA		 , 1.371		 ,  1		 , 51BFS		 , 0.000		 ,  0		 , 34KMP		 , 0.771		 ,  1		 , 31GEMM		 , 11.200		 ,  1		 , 38SORT		 , 0.400		 ,  1		 , 38SPMV		 , 2.000		 ,  1		 , 32
AES		 , 0.778		 ,  2		 , 33FFT		 , 0.000		 ,  0		 , 32SHA		 , 1.333		 ,  1		 , 52BFS		 , 0.000		 ,  0		 , 35KMP		 , 0.750		 ,  1		 , 33GEMM		 , 10.889		 ,  1		 , 40SORT		 , 0.389		 ,  1		 , 39SPMV		 , 1.944		 ,  1		 , 32
AES		 , 0.757		 ,  2		 , 35FFT		 , 0.000		 ,  0		 , 33SHA		 , 1.297		 ,  1		 , 52BFS		 , 0.000		 ,  0		 , 36KMP		 , 0.730		 ,  1		 , 34GEMM		 , 10.595		 ,  1		 , 42SORT		 , 0.378		 ,  1		 , 39SPMV		 , 1.892		 ,  1		 , 33
AES		 , 0.737		 ,  2		 , 35FFT		 , 0.000		 ,  0		 , 35SHA		 , 1.263		 ,  1		 , 52BFS		 , 0.000		 ,  0		 , 37KMP		 , 0.711		 ,  1		 , 35GEMM		 , 10.316		 ,  1		 , 44SORT		 , 0.368		 ,  1		 , 41SPMV		 , 1.842		 ,  1		 , 33
AES		 , 0.718		 ,  2		 , 36FFT		 , 0.000		 ,  0		 , 37SHA		 , 1.231		 ,  1		 , 52BFS		 , 0.000		 ,  0		 , 38KMP		 , 0.692		 ,  1		 , 35GEMM		 , 10.051		 ,  1		 , 47SORT		 , 0.359		 ,  1		 , 41SPMV		 , 1.795		 ,  1		 , 34
AES		 , 0.700		 ,  2		 , 36FFT		 , 0.000		 ,  0		 , 39SHA		 , 1.200		 ,  1		 , 53BFS		 , 0.000		 ,  0		 , 39KMP		 , 0.675		 ,  1		 , 37GEMM		 , 9.800		 ,  1		 , 48SORT		 , 0.350		 ,  1		 , 42SPMV		 , 1.750		 ,  1		 , 34
AES		 , 0.683		 ,  2		 , 36FFT		 , 0.000		 ,  0		 , 41SHA		 , 1.171		 ,  1		 , 56BFS		 , 0.000		 ,  0		 , 41KMP		 , 0.659		 ,  1		 , 37GEMM		 , 9.561		 ,  1		 , 48SORT		 , 0.341		 ,  1		 , 42SPMV		 , 1.707		 ,  1		 , 35
AES		 , 0.667		 ,  2		 , 38FFT		 , 0.000		 ,  0		 , 41SHA		 , 1.143		 ,  1		 , 56BFS		 , 0.000		 ,  0		 , 43KMP		 , 1.286		 ,  2		 , 37GEMM		 , 9.333		 ,  1		 , 50SORT		 , 0.667		 ,  2		 , 43SPMV		 , 1.667		 ,  1		 , 36
AES		 , 0.651		 ,  2		 , 39FFT		 , 0.000		 ,  0		 , 42SHA		 , 1.116		 ,  1		 , 58BFS		 , 0.000		 ,  0		 , 43KMP		 , 1.256		 ,  2		 , 37GEMM		 , 9.116		 ,  1		 , 53SORT		 , 0.651		 ,  2		 , 44SPMV		 , 1.628		 ,  1		 , 36
AES		 , 0.636		 ,  2		 , 39FFT		 , 0.000		 ,  0		 , 45SHA		 , 1.091		 ,  1		 , 59BFS		 , 0.000		 ,  0		 , 44KMP		 , 1.227		 ,  2		 , 38GEMM		 , 8.909		 ,  1		 , 53SORT		 , 0.636		 ,  2		 , 44SPMV		 , 1.591		 ,  1		 , 38
AES		 , 0.622		 ,  2		 , 40FFT		 , 0.000		 ,  0		 , 46SHA		 , 1.067		 ,  1		 , 60BFS		 , 0.000		 ,  0		 , 44KMP		 , 1.200		 ,  2		 , 39GEMM		 , 8.711		 ,  1		 , 54SORT		 , 0.933		 ,  3		 , 45SPMV		 , 1.556		 ,  1		 , 40
AES		 , 0.609		 ,  2		 , 40FFT		 , 0.000		 ,  0		 , 49SHA		 , 1.043		 ,  1		 , 61BFS		 , 0.000		 ,  0		 , 45KMP		 , 1.174		 ,  2		 , 39GEMM		 , 8.522		 ,  1		 , 54SORT		 , 0.913		 ,  3		 , 46SPMV		 , 1.522		 ,  1		 , 42
AES		 , 0.596		 ,  2		 , 43FFT		 , 0.000		 ,  0		 , 50SHA		 , 1.021		 ,  1		 , 62BFS		 , 0.000		 ,  0		 , 45KMP		 , 1.149		 ,  2		 , 39GEMM		 , 8.340		 ,  1		 , 55SORT		 , 0.894		 ,  3		 , 48SPMV		 , 1.489		 ,  1		 , 42
