Program Started
AES		 , nan		 ,  0		 ,   0FFT		 , nan		 ,  0		 ,   2SHA		 , nan		 ,  0		 ,   0BFS		 , nan		 ,  0		 ,   2KMP		 ,
Program Started
AES		 , nan		 ,  0		 ,   0FFT		 , nan		 ,  0		 ,   2SHA		 , nan		 ,  0		 ,   0BFS		 , nan		 ,  0		 ,   2KMP		 , nan		 ,  0		 ,   0GEMM		 , nan		 ,  0		 ,   3SORT		 , nan		 ,  0		 ,   0SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.000		 ,  0		 ,   1FFT		 , 0.000		 ,  0		 ,   2SHA		 , 0.000		 ,  0		 ,   2BFS		 , 0.000		 ,  0		 ,   2KMP		 , 0.000		 ,  0		 ,   0GEMM		 , 14.000		 ,  1		 ,   5SORT		 , 0.000		 ,  0		 ,   2SPMV		 , 5.000		 ,  2		 ,   2
AES		 , 1.000		 ,  4		 ,   2FFT		 , 0.000		 ,  0		 ,   2SHA		 , 5.143		 ,  6		 ,   3BFS		 , 0.000		 ,  0		 ,   4KMP		 , 0.000		 ,  0		 ,   2GEMM		 , 7.000		 ,  1		 ,   5SORT		 , 0.000		 ,  0		 ,   2SPMV		 , 2.500		 ,  2		 ,   4
AES		 , 0.667		 ,  4		 ,   2FFT		 , 0.000		 ,  0		 ,   6SHA		 , 3.429		 ,  6		 ,   3BFS		 , 2.143		 ,  1		 ,   5KMP		 , 1.929		 ,  6		 ,   2GEMM		 , 4.667		 ,  1		 ,   6SORT		 , 0.000		 ,  0		 ,   3SPMV		 , 1.667		 ,  2		 ,   5
AES		 , 0.500		 ,  4		 ,   2FFT		 , 3.795		 ,  5		 ,   8SHA		 , 2.571		 ,  6		 ,   4BFS		 , 1.607		 ,  1		 ,   5KMP		 , 1.446		 ,  6		 ,   2GEMM		 , 3.500		 ,  1		 ,   7SORT		 , 0.250		 ,  2		 ,   6SPMV		 , 2.500		 ,  4		 ,   6
AES		 , 0.400		 ,  4		 ,   2FFT		 , 3.036		 ,  5		 ,   9SHA		 , 2.057		 ,  6		 ,   4BFS		 , 1.286		 ,  1		 ,   7KMP		 , 1.157		 ,  6		 ,   5GEMM		 , 2.800		 ,  1		 ,   8SORT		 , 0.800		 ,  8		 ,   6SPMV		 , 2.000		 ,  4		 ,   7
AES		 , 0.333		 ,  4		 ,   6FFT		 , 2.530		 ,  5		 ,  10SHA		 , 1.714		 ,  6		 ,   5BFS		 , 1.071		 ,  1		 ,   7KMP		 , 1.929		 , 12		 ,   5GEMM		 , 2.333		 ,  1		 ,   9SORT		 , 0.667		 ,  8		 ,   6SPMV		 , 2.500		 ,  6		 ,   8
AES		 , 1.143		 , 16		 ,   7FFT		 , 2.168		 ,  5		 ,  10SHA		 , 1.469		 ,  6		 ,   6BFS		 , 0.918		 ,  1		 ,   8KMP		 , 1.653		 , 12		 ,   5GEMM		 , 2.000		 ,  1		 ,  10SORT		 , 0.571		 ,  8		 ,   8SPMV		 , 2.143		 ,  6		 ,  10
AES		 , 1.000		 , 16		 ,   7FFT		 , 1.897		 ,  5		 ,  12SHA		 , 1.286		 ,  6		 ,   6BFS		 , 0.804		 ,  1		 ,   9KMP		 , 1.446		 , 12		 ,   6GEMM		 , 1.750		 ,  1		 ,  11SORT		 , 0.875		 , 14		 ,   9SPMV		 , 1.875		 ,  6		 ,  12
AES		 , 0.889		 , 16		 ,   9FFT		 , 1.687		 ,  5		 ,  12SHA		 , 1.143		 ,  6		 ,   7BFS		 , 0.714		 ,  1		 ,  10KMP		 , 1.607		 , 15		 ,   7GEMM		 , 3.111		 ,  2		 ,  11SORT		 , 0.889		 , 16		 ,  12SPMV		 , 1.667		 ,  6		 ,  12
AES		 , 1.000		 , 20		 ,  10FFT		 , 1.518		 ,  5		 ,  15SHA		 , 1.029		 ,  6		 ,   7BFS		 , 0.643		 ,  1		 ,  10KMP		 , 1.446		 , 15		 ,   7GEMM		 , 2.800		 ,  2		 ,  12SORT		 , 1.000		 , 20		 ,  13SPMV		 , 1.500		 ,  6		 ,  14
