
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.000		 ,  0		 ,   2FFT		 , 17.000		 ,  1		 ,   2SHA		 , 0.000		 ,  0		 ,   2BFS		 , 0.000		 ,  0		 ,   2KMP		 , 0.000		 ,  0		 ,   2GEMM		 , 0.000		 ,  0		 ,   2SORT		 , 0.000		 ,  0		 ,   2SPMV		 , 0.000		 ,  0		 ,   2
AES		 , 0.000		 ,  0		 ,   3FFT		 , 8.500		 ,  1		 ,   3SHA		 , 0.000		 ,  0		 ,   3BFS		 , 0.000		 ,  0		 ,   3KMP		 , 0.000		 ,  0		 ,   3GEMM		 , 0.000		 ,  0		 ,   3SORT		 , 0.000		 ,  0		 ,   3SPMV		 , 0.000		 ,  0		 ,   3
AES		 , 0.000		 ,  0		 ,   4FFT		 , 5.667		 ,  1		 ,   4SHA		 , 0.000		 ,  0		 ,   4BFS		 , 0.000		 ,  0		 ,   4KMP		 , 0.000		 ,  0		 ,   4GEMM		 , 0.000		 ,  0		 ,   4SORT		 , 0.000		 ,  0		 ,   4SPMV		 , 0.000		 ,  0		 ,   4
AES		 , 0.000		 ,  0		 ,   5FFT		 , 4.250		 ,  1		 ,   5SHA		 , 0.000		 ,  0		 ,   5BFS		 , 0.000		 ,  0		 ,   5KMP		 , 0.000		 ,  0		 ,   5GEMM		 , 0.000		 ,  0		 ,   5SORT		 , 0.000		 ,  0		 ,   5SPMV		 , 0.000		 ,  0		 ,   5
AES		 , 0.000		 ,  0		 ,   6FFT		 , 3.400		 ,  1		 ,   6SHA		 , 0.000		 ,  0		 ,   6BFS		 , 0.000		 ,  0		 ,   6KMP		 , 0.000		 ,  0		 ,   6GEMM		 , 0.000		 ,  0		 ,   6SORT		 , 0.000		 ,  0		 ,   6SPMV		 , 0.000		 ,  0		 ,   6
AES		 , 0.000		 ,  0		 ,   7FFT		 , 2.833		 ,  1		 ,   7SHA		 , 0.000		 ,  0		 ,   7BFS		 , 0.000		 ,  0		 ,   7KMP		 , 0.000		 ,  0		 ,   7GEMM		 , 0.000		 ,  0		 ,   7SORT		 , 0.000		 ,  0		 ,   7SPMV		 , 0.000		 ,  0		 ,   7
AES		 , 0.000		 ,  0		 ,   8FFT		 , 2.429		 ,  1		 ,   8SHA		 , 0.000		 ,  0		 ,   8BFS		 , 0.000		 ,  0		 ,   8KMP		 , 0.000		 ,  0		 ,   8GEMM		 , 0.000		 ,  0		 ,   8SORT		 , 0.000		 ,  0		 ,   8SPMV		 , 0.000		 ,  0		 ,   8
AES		 , 0.000		 ,  0		 ,   9FFT		 , 2.125		 ,  1		 ,   9SHA		 , 0.000		 ,  0		 ,   9BFS		 , 0.000		 ,  0		 ,   9KMP		 , 0.000		 ,  0		 ,   9GEMM		 , 0.000		 ,  0		 ,   9SORT		 , 0.000		 ,  0		 ,   9SPMV		 , 0.000		 ,  0		 ,   9
AES		 , 0.000		 ,  0		 ,  10FFT		 , 1.889		 ,  1		 ,  10SHA		 , 0.000		 ,  0		 ,  10BFS		 , 0.000		 ,  0		 ,  10KMP		 , 0.000		 ,  0		 ,  10GEMM		 , 0.000		 ,  0		 ,  10SORT		 , 0.000		 ,  0		 ,  10SPMV		 , 0.000		 ,  0		 ,  10
AES		 , 0.000		 ,  0		 ,  11FFT		 , 1.700		 ,  1		 ,  11SHA		 , 0.000		 ,  0		 ,  11BFS		 , 0.000		 ,  0		 ,  11KMP		 , 0.000		 ,  0		 ,  11GEMM		 , 0.000		 ,  0		 ,  11SORT		 , 0.000		 ,  0		 ,  11SPMV		 , 0.000		 ,  0		 ,  11
AES		 , 0.000		 ,  0		 ,  12FFT		 , 1.545		 ,  1		 ,  12SHA		 , 0.000		 ,  0		 ,  12BFS		 , 0.000		 ,  0		 ,  12KMP		 , 0.000		 ,  0		 ,  12GEMM		 , 0.000		 ,  0		 ,  12SORT		 , 0.000		 ,  0		 ,  12SPMV		 , 0.000		 ,  0		 ,  12
AES		 , 0.000		 ,  0		 ,  13FFT		 , 1.417		 ,  1		 ,  13SHA		 , 0.000		 ,  0		 ,  13BFS		 , 0.000		 ,  0		 ,  13KMP		 , 0.000		 ,  0		 ,  13GEMM		 , 0.000		 ,  0		 ,  13SORT		 , 0.000		 ,  0		 ,  13SPMV		 , 0.000		 ,  0		 ,  13
